Name,Year of release,Number of Episodes,Rating,Synopsis,Genre,Director,Cast,Rank
Snowdrop,2021,16,8.5,"In 1987, a bloody man jumps into a women’s university dormitory in Seoul. Young Ro, a female university student who falls in love with him at first sight on a group blind date, takes care of him despite the strict surveillance and dangerous situation. However, Young Ro is shocked to learn his secret. Despite heartbreakingly watching over his first love Young Ro, Soo Ho has no choice but to move according to the command in order to save his teammates and to go back to his home country where his sibling awaits. Young Ro rejects the will of her father and works hand in hand with Soo Ho to save her beloved man and her friends. What will happen to their fate?","Romance, Drama, Melodrama, Political",Jo Hyun Taek,"Jung Hae In, Kim Ji Soo, Jang Seung Jo, Yoo In Na, Yoon Se Ah, Kim Hye Yoon",#125
Circle,2017,12,8.5,"Taking place in both the present year 2017 and in the year 2037, when people believe that their future depends on humans controlling and regulating their emotions, this drama is a sci-fi mystery. When alien visitors arrive on Earth, humans learn new skills from them and take advantage of them; what ensues is a story of alliance, resistance, and love. Each episode will contain two shorter stories, the first part set in 2017 and called “Beta Project,” with the second set in 2037 and called “Grand New World.”","Thriller, Mystery, Sci-Fi","Min Jin Gi, Jung Hyun Nam","Yeo Jin Goo, Kim Kang Woo, Gong Seung Yeon, Lee Gi Kwang, Ahn Woo Yeon, Seo Hyun Chul",#126
Because This Is My First Life,2017,16,8.5,A house-poor man and homeless woman become housemates in a drama that examines the institution of marriage and the problems that young people face today.,"Comedy,  Romance,  Life,  Drama ","Park Joon Hwa, Nam Sung Woo","Jung So Min, Lee Min Ki, Esom, Park Byung Eun, Kim Ga Eun, Kim Min Seok",#127
The Princess's Man,2011,24,8.5,"Princess Se Ryung is the headstrong and forward-thinking daughter of  Grand Prince Su Yang, who is determined to be King. She falls in love with the son of his mortal enemy, and their romance gets caught in the crossfire of her father's quest for the throne.","Action, Historical, Romance, Political","Park Hyun Suk, Kim Jung Min, Kim Jung Min","Park Shi Hoo, Moon Chae Won, Kim Yeong Cheol, Song Jong Ho, Hong Soo Hyun, Lee Min Woo",#128
Blind,2022,16,8.5,"Ryu Sung Joon, Ryu Sung Hoon and Jo Eun Ki become involved in a serial murder case involving jury members as the victims. These three individuals try to uncover the truth behind the deaths. Ryu Sung Joon works as an enthusiastic detective. He is always determined to catch the bad guys. Due to his determination, his arrest rate is always among the top for detectives. His older brother is Ryu Sung Hoon and he works as a judge. Ryu Sung Hoon is a perfectionist and smart enough to have passed the bar exam with the top score and graduated at the top of his class at the Judicial Research and Training Institute. He is an upright man who does his best to impart a fair judgement. Jo Eun Ki  works as a social worker. She has a warm heart and is full of justice. She always puts people first and tries to be a reliable guardian to children who come from poor backgrounds.","Thriller, Mystery, Drama",Shin Yong Hwi,"Ok Taec Yeon, Ha Seok Jin, Jung Eun Ji, Jung In Ki, Jung Eui Wook, Park Ji Bin",#129
Two Weeks,2013,16,8.5,"Jang Tae San works at a pawn shop by day and prostitutes himself to older women at night. One day, he's contacted by his ex-girlfriend that he is the father of her daughter with leukemia, and he's the last chance to donate bone marrow and save their daughter's life. That same day, he finds himself framed for murder but manages to escape and runs away. With nobody to trust, Jang Tae San has two weeks to try to prove his innocence and survive until his daughter's surgery. Park Jae Kyung is a prosecutor searching for evidence to take down Moon Il Suk, the man who stabbed her father, and Jo Seo Hee, a beloved senator who is actually working with Moon Il Suk. Together with Detective Im Seung Woo,  she works to uncover the truth behind the murder and its connections to Moon Il Suk and Jo Seo Hee.","Action, Thriller, Mystery, Drama","Song Hyung Suk, Choi Jung Gyu","Lee Joon Gi, Park Ha Sun, Ryu Soo Young, Kim So Yeon, Lee Chae Mi, Jo  Min Ki",#130
"Work Later, Drink Now",2021,12,8.5,"Ahn So Hee, Han Ji Yeon, and Kang Ji Gu enjoy hanging out after work and drinking together. The three women are single and in their 30's. As for their jobs, So Hee works as a broadcasting writer, Ji Yeon as a yoga instructor, and Ji Gu as a YouTuber. Meanwhile, Kang Buk Gu works as a PD of the TV variety show. He hangs out with these three women.","Comedy, Life, Drama",Kim Jung Shik,"Lee Sun Bin, Han Sun Hwa, Jung Eun Ji, Choi Si Won, Kim Jung Min, Yoo Ji Yeon",#131
Dong Yi,2010,60,8.5,"""Dong Yi"" is a historical drama based on the life of Dong Yi later known as Choi Suk Bin. She worked in the royal palace as a lowly water maid. King Sok Jong then selected Choi as his concubine. Choi would then give birth to Yeong Jo, the second son of King Sok Jong and the future king of Joseon. After the birth of Yeong Jo, Dong Yi would become Suk Bin.","Adventure, Historical, Mystery, Romance","Kim Sang Hyub, Lee Byung Hoon","Han Hyo Joo, Ji Jin Hee, Lee So Yeon, Bae Soo Bin, Park Ha Sun, Jung Jin Young",#132
Gaus Electronics,2022,12,8.5,"Stress is no stranger to the members of Marketing Team 3 of the home appliance department at the Gaus Electronics HQ. The firm is a busy, multinational company, but this is a team that most workers dream of getting out of – and where chaos is no stranger! Some 10 employees make up the team. These include Lee Sang Sik, a man with a positive personality who often misjudges his coworkers’ moods, causing trouble as a result! There is also Cha Na Rae, the hot-tempered assistant manager! Also among their number is Baek Ma Tan, the heir of the owners of Gaus Electronics’ fiercest rival – Power Group. He was born with a silver spoon in his mouth, and has never known hardship. But he shocked his entire family when he decided to join Gaus as a junior employee! His polar opposite is Geon Gang Mi, who comes from more modest origins and has always tried to pull herself up by her bootstraps – pushing herself to succeed at every step (although she does have a tendency to change when she drinks alcohol!). While they seem to have very little in common at first, they slowly begin to form a bond, with possible sparks of romance in the air! Will any of the marketing team succeed in escaping? Or will they eventually find a way to quell the workplace chaos?","Business, Comedy, Romance, Life",Park Joon Soo,"Kwak Dong Yeon, Go Sung Hee, Bae Hyun Sung, Kang  Min Ah, Baek Hyun Jin, Heo Jung Do",#133
Angel's Last Mission: Love,2019,32,8.5,"Lee Yeon Seo, is a cynical and arrogant ballerina. She is the prima ballerina, but after an accident she has to give up her dream. After her parents' sudden death, she doesn’t trust anyone since there are a lot of people lurking around her and her inherited money.  Because of her distrust and arrogance, she is unable to love anyone. Kim Dan is an optimistic, carefree angel who is always getting into trouble. In order to return to heaven, he is tasked with a mission to find true love for the talented but emotionally distant ballerina.","Comedy, Romance, Drama, Fantasy",Lee Jung Sub,"Kim Myung Soo, Shin Hye Sun, Lee Dong Gun, Kim  Bo Mi, Woo Hee Jin, Gil Eun Hye",#134
The World of the Married,2020,16,8.5,"Everything seems perfect in the life of the successful family doctor and associate director, Ji Sun Woo. She lives happily in Gosan with her handsome husband Lee Tae Oh, whom she financially helped establish an entertainment company, and their teenage son, Joon Young. However, the perfect image of a happy, loving family life shatters when she discovers that her husband is having an affair, and even their mutual friends are helping him conceal it. Devastated by the betrayal, she sets on a path of seeking revenge and recollecting her broken self.","Thriller, Romance, Drama, Melodrama",Mo Wan Il,"Kim Hee Ae, Park Hae Joon, Han So Hee, Park Sun Young, Kim Young Min, Chae Gook Hee",#135
All of Us Are Dead,2022,12,8.5,A high school becomes ground zero for a zombie virus outbreak. Trapped students must fight their way out — or turn into one of the rabid infected.,"Action, Thriller, Horror, Sci-Fi",Lee Jae Gyoo,"Park Ji Hoo, Yoon Chan Young, Jo Yi Hyun, Lomon, Yoo In Soo, Kim Byung Chul",#136
Extracurricular,2020,10,8.5,"""Extracurricular” is centered around four high school students who start committing crimes to earn money and the unpredictable dangers they face as a result. Ji Soo, who goes from a model student to a criminal after committing an unthinkable act. Jung Da Bin as school bully Min Hee, who gets caught up in Ji Soo’s crime. Park Joo Hyun will portray Ji Soo’s dangerous partner in crime Gyu Ri, while Nam Yoon Soo will appear as Min Hee’s boyfriend and the school’s most popular guy Ki Tae.","Psychological, Crime, Youth, Drama",Kim Jin Min,"Kim Dong Hee, Park Ju Hyun, Jung Da Bin, Nam Yoon Su, Choi Min Soo, Park Hyuk Kwon",#137
Yumi's Cells,2021,14,8.5,"Controlled by a complex network of cells, each and every human on the planet is kept running by an unseen operating system that is, for the most part, completely ignored. Though humans never give much thought to how they manage to function, day in and day out, the cells within the human body are constantly at work, doing their part to keep their human alive and well. Which is why on the outside, Kim Yoo Mi may appear to be just like every other single working woman in the world, but underneath that ordinary exterior lies something truly extraordinary. ","Psychological,  Comedy,  Romance,  Drama ",Lee Sang Yeob,"Kim Go Eun, Ahn Bo Hyun, Park Ji Hyun, Lee Yoo Bi, Joo Jong Hyuk, Park Jin Young",#138
Lost,2021,16,8.4,"At forty years old, Lee Boo Jeong has lost her way. She feels like she has reached the end of her potential and achieved absolutely nothing. Lee Kang Jae is twenty-seven, a man at the end of his youth, and though ""afraid of nothing,"" feels afraid his life will never amount to anything. ""Lost"" tells the story of ordinary people walking towards the light who suddenly realize that 'nothing has happened' in the middle of the downhill road of life. It depicts the most ordinary daily life standing on the edge of darkness rather than light, a life where one cannot easily choose.","Life, Drama, Melodrama","Hur Jin Ho, Park Hong Soo","Jeon Do Yeon, Ryu Joon Yeol, Park Byung Eun, Kim Hyo Jin, Park Ji Young, Park In Hwan",#139
Queen In Hyun's Man,2012,16,8.4,"Kim Boong Do is a scholar who had supported the reinstatement of Queen In Hyun when Jang Hee Bin's schemes resulted in her being deposed and replaced as King Suk Jong's queen consort. He travels 300 years into the future of modern Seoul and meets Choi Hee Jin, a no-name actress who is expecting a career renaissance through her role as Queen In Hyun in a TV drama.","Historical, Comedy, Romance, Fantasy",Kim Byung Soo,"Ji Hyun Woo, Yoo In Na, Kim Jin Woo, Ga Deuk Hee, Seo Woo Jin, Kim Won Hae",#140
